entities: 131  relations: 5  max_triples: 5
Epoch 176/300 | Total   0.3216 | CE   0.0502 | KL   0.4072
Epoch 177/300 | Total   0.3335 | CE   0.0534 | KL   0.4041
Epoch 178/300 | Total   0.3427 | CE   0.0554 | KL   0.3990
Epoch 179/300 | Total   0.3535 | CE   0.0582 | KL   0.3956
Epoch 180/300 | Total   0.3640 | CE   0.0609 | KL   0.3919
Epoch 181/300 | Total   0.3741 | CE   0.0639 | KL   0.3877
Epoch 182/300 | Total   0.3840 | CE   0.0665 | KL   0.3841
Epoch 183/300 | Total   0.3934 | CE   0.0696 | KL   0.3794
Epoch 184/300 | Total   0.4032 | CE   0.0721 | KL   0.3763
Epoch 185/300 | Total   0.4133 | CE   0.0752 | KL   0.3730
Epoch 186/300 | Total   0.4224 | CE   0.0779 | KL   0.3691
Epoch 187/300 | Total   0.4314 | CE   0.0809 | KL   0.3651
Epoch 188/300 | Total   0.4405 | CE   0.0842 | KL   0.3611
Epoch 189/300 | Total   0.4460 | CE   0.0859 | KL   0.3602
Epoch 190/300 | Total   0.4456 | CE   0.0863 | KL   0.3592
Epoch 191/300 | Total   0.4448 | CE   0.0863 | KL   0.3584
Epoch 192/300 | Total   0.4450 | CE   0.0863 | KL   0.3587
Epoch 193/300 | Total   0.4442 | CE   0.0861 | KL   0.3581
Epoch 194/300 | Total   0.4441 | CE   0.0861 | KL   0.3580
Epoch 195/300 | Total   0.4449 | CE   0.0861 | KL   0.3588
Epoch 196/300 | Total   0.4443 | CE   0.0867 | KL   0.3576
Epoch 197/300 | Total   0.4437 | CE   0.0864 | KL   0.3573
Epoch 198/300 | Total   0.4433 | CE   0.0861 | KL   0.3571
Epoch 199/300 | Total   0.4434 | CE   0.0860 | KL   0.3574
Epoch 200/300 | Total   0.4429 | CE   0.0859 | KL   0.3569
Epoch 201/300 | Total   0.4431 | CE   0.0862 | KL   0.3569
Epoch 202/300 | Total   0.4424 | CE   0.0856 | KL   0.3568
Epoch 203/300 | Total   0.4429 | CE   0.0854 | KL   0.3574
Epoch 204/300 | Total   0.4419 | CE   0.0853 | KL   0.3566
Epoch 205/300 | Total   0.4417 | CE   0.0851 | KL   0.3567
Epoch 206/300 | Total   0.4423 | CE   0.0853 | KL   0.3569
Epoch 207/300 | Total   0.4418 | CE   0.0853 | KL   0.3566
Epoch 208/300 | Total   0.4418 | CE   0.0850 | KL   0.3568
Epoch 209/300 | Total   0.4411 | CE   0.0851 | KL   0.3560
Epoch 210/300 | Total   0.4408 | CE   0.0847 | KL   0.3561
Epoch 211/300 | Total   0.4416 | CE   0.0848 | KL   0.3568
Epoch 212/300 | Total   0.4404 | CE   0.0845 | KL   0.3559
Epoch 213/300 | Total   0.4402 | CE   0.0845 | KL   0.3557
Epoch 214/300 | Total   0.4411 | CE   0.0844 | KL   0.3567
Epoch 215/300 | Total   0.4408 | CE   0.0842 | KL   0.3566
Epoch 216/300 | Total   0.4402 | CE   0.0838 | KL   0.3564
Epoch 217/300 | Total   0.4400 | CE   0.0840 | KL   0.3560
Epoch 218/300 | Total   0.4400 | CE   0.0841 | KL   0.3559
Epoch 219/300 | Total   0.4396 | CE   0.0838 | KL   0.3559
